j0,j1,j2,j3,j4,j5,j6
0.990526,0.476732,0.261635,-2.37549,-0.377578,2.78779,0.814902
0.990526,0.476732,0.261638,-2.37548,-0.377583,2.78779,0.8149
0.990534,0.476733,0.261638,-2.37549,-0.377584,2.78779,0.814899
0.990539,0.47674,0.261641,-2.37547,-0.377583,2.78779,0.814897
0.990537,0.47674,0.26164,-2.37547,-0.377584,2.78779,0.814901
0.990544,0.476742,0.261651,-2.37547,-0.377577,2.78779,0.814905
0.990542,0.476742,0.261649,-2.37547,-0.37758,2.78779,0.814902
0.990547,0.476748,0.261649,-2.37547,-0.377577,2.78779,0.814902
0.99055,0.476748,0.261646,-2.37546,-0.37758,2.78779,0.814895
0.990553,0.476746,0.261651,-2.37547,-0.37758,2.78779,0.814899
0.990551,0.476756,0.26165,-2.37547,-0.377579,2.78779,0.8149
0.990551,0.47675,0.261654,-2.37547,-0.377583,2.7878,0.814902
0.990551,0.476755,0.261649,-2.37547,-0.377584,2.7878,0.814901
0.990556,0.476753,0.261652,-2.37547,-0.377586,2.7878,0.8149
0.990552,0.476753,0.261652,-2.37546,-0.377586,2.78779,0.814897
0.990557,0.476756,0.261653,-2.37547,-0.377585,2.78779,0.814897
0.990555,0.476756,0.261645,-2.37548,-0.377586,2.7878,0.814902
0.990553,0.476758,0.261642,-2.37547,-0.377585,2.7878,0.814902
0.990553,0.476756,0.261642,-2.37548,-0.377585,2.7878,0.814902
0.99054,0.476753,0.261637,-2.37549,-0.377587,2.7878,0.814898
0.990546,0.476757,0.26164,-2.37549,-0.377586,2.7878,0.8149
0.990535,0.476754,0.261635,-2.3755,-0.377589,2.7878,0.814897
0.99053,0.476748,0.261629,-2.37551,-0.377592,2.7878,0.814897
0.99053,0.47674,0.261627,-2.37552,-0.377592,2.78779,0.814897
0.990522,0.476745,0.261627,-2.37553,-0.377591,2.78779,0.814902
0.990517,0.476738,0.261624,-2.37553,-0.377587,2.78779,0.8149
0.990509,0.476738,0.261622,-2.37555,-0.37759,2.78779,0.814899
0.990504,0.476727,0.261616,-2.37555,-0.37759,2.78778,0.814896
0.990494,0.476729,0.261614,-2.37556,-0.377585,2.78778,0.814898
0.990493,0.47672,0.261618,-2.37556,-0.377589,2.78778,0.814901
0.990488,0.476717,0.261611,-2.37557,-0.37759,2.78778,0.8149
0.990482,0.476714,0.261611,-2.37558,-0.37759,2.78777,0.814901
0.990482,0.476709,0.261609,-2.37559,-0.377593,2.78778,0.814895
0.990475,0.476706,0.261606,-2.3756,-0.377593,2.78777,0.814896
0.990469,0.476712,0.261613,-2.37561,-0.377597,2.78777,0.814896
0.990468,0.476704,0.261609,-2.37561,-0.377598,2.78777,0.814899
0.990469,0.476701,0.261608,-2.37561,-0.377598,2.78777,0.814897
0.990466,0.476701,0.261605,-2.37562,-0.377598,2.78777,0.814897
0.990457,0.476704,0.261613,-2.37563,-0.377597,2.78777,0.814894
0.99046,0.476701,0.26161,-2.37563,-0.377596,2.78777,0.814897
0.990458,0.476699,0.26161,-2.37563,-0.377599,2.78777,0.814903
0.990452,0.476699,0.261613,-2.37563,-0.377597,2.78777,0.814898
0.990454,0.476701,0.26161,-2.37563,-0.377593,2.78777,0.814897
0.990452,0.476699,0.261613,-2.37564,-0.377595,2.78777,0.8149
0.990453,0.476701,0.261616,-2.37564,-0.377597,2.78778,0.814897
0.990454,0.476704,0.261616,-2.37564,-0.377597,2.78778,0.814895
0.990451,0.476699,0.261616,-2.37564,-0.377597,2.78777,0.814897
0.990456,0.476704,0.261613,-2.37564,-0.377597,2.78777,0.814895
0.990459,0.476706,0.26162,-2.37563,-0.377595,2.78778,0.814897
0.990453,0.476706,0.261623,-2.37563,-0.377595,2.78778,0.814898
0.990458,0.476704,0.261623,-2.37562,-0.377595,2.78778,0.8149
0.990459,0.476708,0.261623,-2.37562,-0.377593,2.78778,0.814898
0.990461,0.476714,0.261623,-2.37561,-0.377594,2.78778,0.814892
0.99046,0.476715,0.261622,-2.37561,-0.377593,2.78778,0.814894
0.990463,0.476724,0.261623,-2.3756,-0.377593,2.78778,0.814898
0.990468,0.476724,0.261624,-2.37559,-0.377594,2.78778,0.8149
0.990468,0.476724,0.261624,-2.37558,-0.377594,2.78778,0.814899
0.990479,0.476724,0.261629,-2.37558,-0.377591,2.78778,0.814896
0.990478,0.476733,0.261626,-2.37557,-0.377591,2.78778,0.814896
0.990484,0.476728,0.261626,-2.37557,-0.377588,2.78778,0.814897
0.99049,0.476727,0.261629,-2.37556,-0.377587,2.78778,0.8149
0.990494,0.476722,0.261629,-2.37556,-0.377586,2.78778,0.8149
0.990495,0.476722,0.261631,-2.37555,-0.377586,2.78778,0.8149
0.990499,0.476719,0.261629,-2.37555,-0.377586,2.78778,0.814894
0.990505,0.476722,0.261634,-2.37555,-0.377586,2.78778,0.814896
0.990509,0.476719,0.261631,-2.37555,-0.377585,2.78778,0.814898
0.990503,0.47672,0.261635,-2.37555,-0.377585,2.78778,0.814895
0.990508,0.476724,0.261637,-2.37554,-0.377584,2.78778,0.814897
0.990511,0.476732,0.261632,-2.37554,-0.377585,2.78778,0.814897
0.990513,0.476738,0.261634,-2.37555,-0.37758,2.78779,0.814901
0.990514,0.476743,0.261636,-2.37554,-0.377585,2.78779,0.814896
0.990511,0.476751,0.261634,-2.37554,-0.377585,2.78779,0.814897
0.990506,0.476753,0.261634,-2.37555,-0.377585,2.78779,0.814898
0.990508,0.476761,0.261637,-2.37555,-0.377586,2.78779,0.8149
0.990507,0.476761,0.261637,-2.37555,-0.377588,2.7878,0.8149
0.990504,0.476766,0.261637,-2.37556,-0.377584,2.7878,0.814897
0.990503,0.476764,0.261632,-2.37556,-0.377587,2.7878,0.814896
0.990506,0.476761,0.261635,-2.37557,-0.377585,2.7878,0.8149
0.990504,0.476757,0.261632,-2.37557,-0.377584,2.7878,0.8149
0.990505,0.476753,0.261627,-2.37558,-0.377585,2.7878,0.8149
0.990499,0.476749,0.261629,-2.37558,-0.377586,2.7878,0.814902
0.990496,0.476743,0.261619,-2.37559,-0.377586,2.78779,0.814901
0.990495,0.476735,0.261618,-2.37559,-0.377586,2.78779,0.814901
0.990493,0.476735,0.261621,-2.3756,-0.377586,2.78779,0.8149
0.990494,0.476728,0.261616,-2.3756,-0.377586,2.78779,0.8149
0.990486,0.476727,0.261609,-2.37561,-0.377582,2.78779,0.814897
0.990481,0.476725,0.261603,-2.3756,-0.377583,2.78779,0.814903
0.990475,0.476722,0.261605,-2.3756,-0.377582,2.78778,0.814901
0.990462,0.47672,0.261603,-2.3756,-0.377581,2.78778,0.814904
0.990464,0.476722,0.261602,-2.3756,-0.377579,2.78777,0.814902
0.990461,0.476714,0.261592,-2.3756,-0.377572,2.78778,0.8149
0.990457,0.476709,0.261587,-2.3756,-0.37757,2.78777,0.814902
0.990451,0.476712,0.261589,-2.3756,-0.377567,2.78777,0.814901
0.990443,0.476709,0.261584,-2.3756,-0.377572,2.78777,0.814905
0.990435,0.476712,0.261584,-2.3756,-0.377573,2.78777,0.814905
0.990424,0.476704,0.261578,-2.3756,-0.377571,2.78777,0.814904
0.990424,0.476706,0.261571,-2.3756,-0.377573,2.78778,0.814898
0.990419,0.476701,0.261566,-2.37559,-0.377571,2.78778,0.8149
0.990418,0.476706,0.261567,-2.3756,-0.377573,2.78778,0.814901
0.99041,0.476704,0.26156,-2.37559,-0.377569,2.78778,0.814906
0.990407,0.476706,0.261551,-2.37559,-0.377567,2.78777,0.814905
0.990403,0.476699,0.261551,-2.37559,-0.377565,2.78777,0.814907
0.990397,0.476701,0.261549,-2.37559,-0.377567,2.78777,0.814903
0.990391,0.476693,0.261543,-2.37559,-0.377566,2.78777,0.814901
0.990388,0.476688,0.261536,-2.37557,-0.377568,2.78777,0.814903
0.990385,0.476691,0.261537,-2.37558,-0.377568,2.78777,0.814903
0.990377,0.476686,0.26153,-2.37557,-0.377567,2.78777,0.814905
0.990377,0.476685,0.261534,-2.37557,-0.377568,2.78777,0.8149
0.990374,0.476687,0.261524,-2.37557,-0.377568,2.78778,0.814905
0.990367,0.476693,0.261518,-2.37556,-0.377564,2.78778,0.814901
0.990367,0.476696,0.261514,-2.37554,-0.377565,2.78778,0.814907
0.990361,0.476703,0.261508,-2.37554,-0.377567,2.78778,0.814904
0.990355,0.476706,0.261502,-2.37554,-0.377568,2.78778,0.814903
0.990357,0.476711,0.261497,-2.37554,-0.377568,2.78778,0.814902
0.990349,0.476709,0.261498,-2.37553,-0.377566,2.78778,0.814903
0.990354,0.476716,0.261501,-2.37553,-0.377567,2.78778,0.814899
0.990352,0.476714,0.261495,-2.37553,-0.377567,2.78779,0.814906
0.990357,0.476714,0.261499,-2.37553,-0.377568,2.78779,0.814902
0.990354,0.476716,0.261503,-2.37552,-0.377568,2.78779,0.814903
0.990351,0.476716,0.261504,-2.37553,-0.377565,2.78778,0.814901
0.990357,0.476712,0.261508,-2.37553,-0.377571,2.78778,0.814902
0.990357,0.476716,0.261505,-2.37553,-0.377572,2.78778,0.814906
0.99036,0.476721,0.26151,-2.37552,-0.377572,2.78779,0.814905
0.990365,0.476727,0.261515,-2.37552,-0.377572,2.78779,0.814901
0.990366,0.476722,0.261513,-2.37553,-0.377572,2.78779,0.8149
0.990371,0.476727,0.261516,-2.37553,-0.37757,2.78779,0.814898
0.990367,0.476729,0.261524,-2.37552,-0.377574,2.78779,0.814905
0.990377,0.476729,0.261524,-2.37552,-0.377576,2.78779,0.814904
0.990378,0.476732,0.261524,-2.37553,-0.377577,2.78778,0.814905
