f0,f1,f2,e0,e1,e2,e3,e4,e5
0.214233,-0.21582,0.0649414,5.86693e-06,8.23481e-05,-0.00016473,0.000119029,0.000248525,-0.000149066
0.0436401,-0.170166,0.0568237,9.22855e-06,8.58951e-05,-0.000166768,0.000117966,0.000249105,-0.000144324
-0.0793457,-0.190918,-0.0162354,1.27324e-05,8.82477e-05,-0.000163802,0.000115942,0.000246182,-0.000143726
-0.0912476,-0.128662,0.0649414,1.38253e-05,7.9412e-05,-0.000163829,0.00011184,0.000247785,-0.000149704
0,-0.124512,0,1.40842e-05,9.13019e-05,-0.000165203,0.00011418,0.000249811,-0.000143671
0.027771,-0.136963,0.0324707,2.09078e-05,8.30848e-05,-0.00016175,0.000113697,0.000244973,-0.000151273
0.273743,-0.00830078,0.0649414,2.20173e-05,8.33989e-05,-0.000163221,0.00010669,0.000250703,-0.000147037
0.293579,0.00415039,0.0730591,2.99373e-05,8.34869e-05,-0.000161812,0.000104146,0.000253444,-0.000152887
0.198364,-0.0124512,0.0730591,3.27452e-05,8.15798e-05,-0.000162909,0.000105038,0.00025555,-0.000156837
0.0872803,-0.0124512,-0.0324707,3.68299e-05,7.21138e-05,-0.000160791,0.00010265,0.000252256,-0.000168445
-0.00396729,0.00415039,-0.0324707,4.09684e-05,7.90395e-05,-0.000161188,0.000101071,0.000253857,-0.000160979
-0.00396729,0.0332031,-0.0324707,4.52041e-05,7.31812e-05,-0.000159704,0.00010128,0.000252747,-0.000166172
0.00793457,0.0581055,-0.0568237,4.71636e-05,7.55087e-05,-0.000160345,0.000102218,0.000253211,-0.000170519
0.0119019,0.0705566,0.0730591,5.01602e-05,7.52937e-05,-0.000160941,0.000103596,0.000255713,-0.000171601
0.027771,0.0664063,0.0892944,5.57809e-05,7.24507e-05,-0.00015949,0.000101097,0.000255575,-0.000175865
0.0238037,0.0373535,-0.0568237,6.08424e-05,7.0492e-05,-0.000158816,0.000103154,0.00025369,-0.000179417
0.0396729,0.00830078,-0.0405884,6.37903e-05,6.9022e-05,-0.000161462,0.000106819,0.000256623,-0.000186145
0.0396729,0.0249023,-0.0487061,6.91175e-05,5.56653e-05,-0.000158135,9.52768e-05,0.000254362,-0.000196857
0.0238037,0.020752,-0.00811768,7.42355e-05,6.84893e-05,-0.000154693,0.000105646,0.000249719,-0.000190206
0.0119019,-0.0166016,-0.0324707,7.90604e-05,6.03921e-05,-0.000154765,0.000101552,0.000252646,-0.000197648
0.027771,-0.0498047,0.0405884,8.33483e-05,5.66331e-05,-0.000154111,0.000101512,0.000252412,-0.000204027
0.0119019,-0.0664063,0.0324707,8.87018e-05,5.87167e-05,-0.000155322,0.000100768,0.000252466,-0.000205344
-0.00396729,-0.0498047,0.0649414,9.38405e-05,5.77123e-05,-0.000155095,0.000105598,0.000250846,-0.000210665
-0.0198364,-0.0830078,0,9.8597e-05,5.66104e-05,-0.000154323,0.000102361,0.000253536,-0.000215699
-0.0476074,-0.10376,-0.0730591,0.000102482,5.19934e-05,-0.000155502,9.5514e-05,0.000255864,-0.0002191
-0.0634766,-0.0705566,0.024353,0.000106492,5.40122e-05,-0.000161193,0.000102986,0.000257648,-0.000224094
0,-0.0539551,0.10553,0.00011377,5.21596e-05,-0.000155367,0.000101561,0.000253561,-0.000227938
0.0119019,0.0166016,0.0405884,0.000116956,4.9769e-05,-0.000156758,9.75516e-05,0.000258862,-0.000231117
0.0436401,-0.0166016,0.0324707,0.000122339,4.7774e-05,-0.000153994,9.64458e-05,0.000258041,-0.00023237
0.00793457,0.0539551,0,0.000124561,5.38965e-05,-0.000154202,9.49518e-05,0.000259763,-0.000226937
-0.055542,0.0581055,0,0.00013172,4.72133e-05,-0.000155394,9.47193e-05,0.000260783,-0.000236918
-0.083313,0.0539551,-0.024353,0.000135958,4.52337e-05,-0.000156021,9.15919e-05,0.000262626,-0.00024243
-0.142822,0.0332031,0.00811768,0.000142318,3.96898e-05,-0.000155609,8.69649e-05,0.000261011,-0.00024844
-0.158691,0.0498047,-0.024353,0.000145395,4.45185e-05,-0.000158703,9.50184e-05,0.000266327,-0.000248699
-0.142822,0.0830078,0.0974121,0.000147014,4.32974e-05,-0.000157946,8.78211e-05,0.000271377,-0.000250367
-0.13092,0.0705566,-0.0892944,0.000151045,3.95359e-05,-0.000157477,8.65668e-05,0.000270404,-0.000256215
-0.083313,0.0664063,0.0405884,0.00015736,3.79292e-05,-0.000156569,8.282e-05,0.000275792,-0.000256387
-0.0476074,0.0830078,-0.0162354,0.000154248,3.95765e-05,-0.000164178,8.15823e-05,0.000286082,-0.000254743
-0.0238037,0.0871582,0.0162354,0.000160308,3.68651e-05,-0.000162417,8.03794e-05,0.000288547,-0.000261872
-0.0396729,0.0913086,-0.0892944,0.000162509,3.45823e-05,-0.000165109,7.76365e-05,0.000293498,-0.000267401
-0.0396729,0.0913086,0.0324707,0.000167603,3.25479e-05,-0.000162326,7.07005e-05,0.000294652,-0.000269585
-0.0793457,0.0830078,-0.024353,0.000166856,3.27667e-05,-0.000165933,6.808e-05,0.000303604,-0.000268987
-0.0674438,0.0539551,-0.024353,0.000168866,3.41041e-05,-0.000167198,6.41486e-05,0.000308539,-0.000269478
-0.0238037,0.0249023,-0.0649414,0.000173996,3.00114e-05,-0.000167095,6.12991e-05,0.000312953,-0.00027463
0.00793457,0.0415039,0.0649414,0.000176081,2.78268e-05,-0.000169731,5.58941e-05,0.000318831,-0.000278405
